"識別ID","回答日時","セグメント","タグ","オフィスで勤務していたときの標準的な生産性を「5」とすると、テレワーク時の生産性は何点ですか？ 0点～10点でお答えください。","NPS要因 - wifiなど業務遂行に十分な通信環境がある","NPS要因 - 机、椅子など、仕事がしやすい環境が自宅にある","NPS要因 - パソコン、プリンターなど業務に必要な機器が揃っている","NPS要因 - ウェブ会議やチャットツールなど業務に必要なツール・ソフトが揃っている","NPS要因 - 上司とのコミュニケーションは円滑に実施できている","NPS要因 - 同僚とのコミュニケーションは円滑に実施できている","NPS要因 - 顧客や社外関係者とのコミュニケーションは円滑に実施できている","NPS要因 - 業務量は適切である","NPS要因 - 適切な業務指示を受けている","NPS要因 - 自分の業務に対するフィードバック・評価をしっかり得られている","NPS要因 - 自身の業務はテレワークに対応しており、在宅でも遂行できている","NPS要因 - 会社は、自分の健康や安全に十分配慮している","NPS要因 - 会社は、自分の家族環境にも十分配慮している","NPS要因 - 情報セキュリティ対策を十分に行っている","NPS要因 - テレワークの環境整備など、施策実行が迅速だった","NPS要因 - 会社の業績は安定している","NPS要因 - 給与が安定して支払われている","NPS要因 -  プライベートと業務の切り替え、メリハリが上手く実施できている","平均すると、1週間で何日程度テレワークを実施していますか？","テレワークはどの程度前から実施していますか？最も近いものを選択してください。","あなたの性別を選択してください。","あなたの年代を選択してください。","あなたの勤続年数を選択してください。","あなたの役職を選択してください。","あなたの雇用形態を選択してください。","あなたの入社形態を選択してください。","あなたの所属部門に最も近いものを選択してください。","あなたは、現在の職場で働くことをを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください。","IPアドレス","UserAgent"
"","2020/06/22 12:44:57","セグメントなし","","8;他の人からの飛び込み仕事の依頼が減り、優先課題に集中できるようになった","当てはまる","やや当てはまる","当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","あまり当てはまらない","当てはまる","当てはまる","どちらでもない","当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","当てはまる","週4日程度","2ヶ月程度前","男性","30～39歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","中途","技術・研究開発部門","4","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 12:38:10","セグメントなし","","5;個人で集中して行う作業は生産性向上が見込める。
しかし打ち合わせや誰かに意見を聞きたい場合には生産性が落ちる傾向がある。
各人のweb会議やチャットに対するリテラシー向上や、web会議を安定して使用出来るネット環境の用意などの課題が解決すればもっと生産性は上がると感じる。","どちらでもない","当てはまらない","当てはまらない","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","週3日程度","2ヶ月程度前","男性","30～39歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","中途","システム部門","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 12:27:51","セグメントなし","","5","やや当てはまる","当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","どちらでもない","週5日以上","3ヶ月程度前","男性","30～39歳","1年以上～3年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 12:25:45","セグメントなし","","4;ほとんど、問題ない。関係者との連携が少し弱くなった","当てはまる","当てはまる","あまり当てはまらない","どちらでもない","当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","どちらでもない","当てはまる","やや当てはまる","週3日程度","2ヶ月程度前","男性","50～59歳","20年以上～","部長（複数の課のマネジメント）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763"
"","2020/06/22 12:21:47","セグメントなし","","5;テレワークだと、コピー機がない、ちょっとした相談事がしにくい、等ありますが、
反対に無駄な会議の削減、話しかけられないなどの良い点もあるので、生産性は変わらないと感じます。","どちらでもない","当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまらない","どちらでもない","あまり当てはまらない","当てはまる","当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","当てはまらない","どちらでもない","あまり当てはまらない","週4日程度","3ヶ月程度前","女性","20～29歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","新卒","マーケティング部門（広報も含む）","2;業務量が多すぎる。マルチタスクにも程がある。
同じランク内でKPIや責任に大きな差があり不公平を感じる。

独身に優しくない。結婚して子どもを産めば業務量は減らしてもらえるのか？
若い人材を増やして、育てていこうという意思が会社にあるのであれば、
キャリアビジョンや若いメンバーの働き方含め、もう少し考えてほしい。
これでは若い人は他の会社に移っていくと思う。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:73.0) Gecko/20100101 Firefox/73.0"
"","2020/06/22 12:21:15","セグメントなし","","3;オフィスに比べると椅子や机など環境が良いとは言えないので","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","週4日程度","2ヶ月程度前","女性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","正社員","新卒","システム部門","4","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36"
"","2020/06/22 12:13:36","セグメントなし","","3;業務内容の軽い認識合わせなどに時間がかかってしまう。また部署の特性上、新しい事業、商品提案など、雑談レベルで相談したいこともしにくい環境となっている。集中できる時間は増えるが、それと比例して、自身で悶々と考える時間が増えてしまった。","やや当てはまる","当てはまらない","あまり当てはまらない","当てはまる","あまり当てはまらない","当てはまらない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","当てはまらない","やや当てはまる","やや当てはまる","週2日程度","2ヶ月程度前","女性","30～39歳","5年以上～10年未満","プレイヤー（内勤系職種）","正社員","中途","その他部門","4;結婚、出産を考えると正社員では働きにくいと思います。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 12:11:46","セグメントなし","","5;分析などは集中できるが、商談や相談事などコミュニケーション不足が生産性を下げている","当てはまる","当てはまらない","当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","やや当てはまる","どちらでもない","週4日程度","2ヶ月程度前","男性","40～49歳","20年以上～","プレイヤー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 12:07:09","セグメントなし","","6;移動のストレスが無いので、スムーズに業務に移行できるため","当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまる","あまり当てはまらない","どちらでもない","当てはまらない","週3日程度","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","中途","マーケティング部門（広報も含む）","8","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:73.0) Gecko/20100101 Firefox/73.0"
"","2020/06/22 12:06:50","セグメントなし","","5;テレワークだと”作業”は進みます。すなわち決まっている内容の生産性は高いです。
オフィスワークだと”情報”が早いです。すなわち決まっていない内容のブラッシュアップが早く
１つの企画の精度は高くなります。
理由は、キタムラの企業文化にどうしても業務外のコミュニケーションも大事にする文化があるからです。例：昼ご飯を仲間と食べてるときに良いアイデアが生まれ実行に移すなど
上記はあくまで今のキタムラのオフィスワークの場合を示しており、実際にはテレワークでも
しっかり”場の雰囲気”がつかめて、”システム環境が整っていて””決めが作れる（資料、データなどが個人がそれなりに作ることができる技術）”があれば可能かと思います。
周りが認めるか？が、直接会った方が高いと考えている、思っている、思われていることが多いということかもしれないです。

","あまり当てはまらない","当てはまらない","当てはまらない","やや当てはまる","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","当てはまらない","どちらでもない","どちらでもない","週5日以上","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5;福利厚生は良いと考えている
個人の評価は、適正ではない可能性が高いと考えている
良い評価がほしいということではなく、
評価基準を明確にするべきと考えている
会社上の都合や、判断が難しい状況ががあるにせよ、末端でお客さまと相対しているスタッフのことをないがしろにしている面があるように見える
KPIを推進している以上、ある程度は絶対評価の方が納得性が高いと考えている","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 12:03:48","セグメントなし","","8;作業が多く、在宅の方が干渉が少なく捗るため","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","やや当てはまる","当てはまる","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまる","やや当てはまる","週5日以上","4～5ヶ月程度前","男性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","正社員","新卒","マーケティング部門（広報も含む）","7;労働組合や健康保険組合など、福利厚生の制度がしっかりしているため
国の労働方針に則り勤怠管理ができているため（年賀状など繁忙期シーズンは除く）","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 12:01:43","セグメントなし","","5","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","どちらでもない","当てはまる","あまり当てはまらない","週3日程度","3ヶ月程度前","女性","40～49歳","半年以上～1年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","8","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:58:00","セグメントなし","","4;一部テレワークだと対応できない業務があるため","当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","当てはまらない","あまり当てはまらない","あまり当てはまらない","週3日程度","2ヶ月程度前","男性","40～49歳","20年以上～","プレイヤー（内勤系職種）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7;自分は働きやすいと感じるから。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:57:32","セグメントなし","","5;作業系の仕事に関しては集中して行えるため生産性が上がった。一方で、上司に確認が必要な業務や企画業務に関してはその場ですぐに聞けないため在社時よりも時間がかかるようになった。総合的にみれば業務効率はそこまで変わっていないように感じる。","当てはまる","当てはまる","あまり当てはまらない","当てはまる","当てはまらない","あまり当てはまらない","当てはまらない","当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","当てはまらない","当てはまる","当てはまらない","週4日程度","2ヶ月程度前","男性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","正社員","新卒","人事部門","3;業績不安で先行きが見えないため、今の状態では勧めることに対し漠然とした不安がある。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:49:59","セグメントなし","","5","やや当てはまる","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","当てはまらない","やや当てはまる","当てはまる","週4日程度","2ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","正社員","新卒","マーケティング部門（広報も含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:49:48","セグメントなし","","5;テレワークの日が少なかったので、生産性まで図れませんでした
","当てはまらない","当てはまらない","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","当てはまらない","どちらでもない","当てはまらない","どちらでもない","当てはまらない","当てはまらない","当てはまる","どちらでもない","週1日に満たない","2ヶ月程度前","女性","30～39歳","10年以上～20年未満","部長（複数の課のマネジメント）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","6","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:48:38","セグメントなし","","7","当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","当てはまる","当てはまる","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","当てはまらない","当てはまらない","どちらでもない","やや当てはまる","あまり当てはまらない","週2日程度","2ヶ月程度前","女性","30～39歳","10年以上～20年未満","部長（複数の課のマネジメント）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","7","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363"
"","2020/06/22 11:48:36","セグメントなし","","2;・他部署に確認しながら進める内容が多いので、その場ですぐに確認できないと業務が止まってしまうことがある。
・画面を見せながら確認したいとき電話ではなくZoomの使用になるが、他部署でどの程度Zoomが浸透しているか分からないので、なかなかZoomでのMTGも招待しにくい(5～10分くらいの内容をわざわざZoomでやるのも面倒くさいので…）
・自宅のWi-Fiを使用しているが、稀にどうしようもなくネットワークが不調のときがあり、そのときの業務内容によってはほぼ何もできなくなる","どちらでもない","あまり当てはまらない","当てはまる","当てはまる","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","あまり当てはまらない","週4日程度","3ヶ月程度前","女性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","システム部門","1;・全国に店舗展開している会社のため様々な地方から集まってきていることや、店舗出身者ではないと分からない内容なども多く、独特な社内の雰囲気や文化、人間関係なので馴染めないと厳しい。ギスギスした雰囲気ではないが、悪く言えば「仲良しこよしの集まり」だと思う
・OJTが基本なのだと思うが、中途入社の人に対する育成のマニュアル・方針・フォロー体制がないため、配属部署やその部署の人によって左右される部分が大きい
・(実際に私が受けているわけではないですが)セクハラやパワハラに対しても含め、人事が感覚や主観で判断されていると思う","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:47:11","セグメントなし","","8","当てはまる","当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","当てはまらない","どちらでもない","あまり当てはまらない","あまり当てはまらない","あまり当てはまらない","どちらでもない","週1日程度","2ヶ月程度前","女性","40～49歳","20年以上～","本部長／事業部長","その他","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","6","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:47:11","セグメントなし","","5","あまり当てはまらない","やや当てはまる","当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","やや当てはまる","あまり当てはまらない","当てはまらない","どちらでもない","どちらでもない","当てはまらない","あまり当てはまらない","どちらでもない","やや当てはまる","週1日に満たない","3ヶ月程度前","女性","20～29歳","5年以上～10年未満","部長（複数の課のマネジメント）","正社員","新卒","企画部門","2","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:44:44","セグメントなし","","5;作業が在宅に向いているので、作業自体は問題ない。むしろ電話の音などがない分捗るもののWEBでの業務やリモート会議に不慣れな部署の方とのやりとり、店舗と本部を行き来する方のレスポンシブの遅さがあるので結果的にオフィス業務と効率は変わらない。","当てはまる","当てはまる","当てはまる","当てはまる","やや当てはまる","当てはまる","当てはまる","あまり当てはまらない","当てはまらない","どちらでもない","当てはまる","当てはまる","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","あまり当てはまらない","週5日以上","3ヶ月程度前","女性","30～39歳","5年以上～10年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","マーケティング部門（広報も含む）","10;改善点は見受けられるものの会社が好きだからです。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:43:48","セグメントなし","","4;Ｗｉ－Ｆｉの接続が不安定なときがある。","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","週3日程度","3ヶ月程度前","女性","20～29歳","3年以上～5年未満","プレイヤー（内勤系職種）","正社員","新卒","人事部門","4","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:41:22","セグメントなし","","6","あまり当てはまらない","やや当てはまる","あまり当てはまらない","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","やや当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","どちらでもない","あまり当てはまらない","あまり当てはまらない","やや当てはまる","やや当てはまる","週5日以上","1ヶ月程度前","女性","30～39歳","10年以上～20年未満","部長（複数の課のマネジメント）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363"
"","2020/06/22 11:40:25","セグメントなし","","9;あまり不便はなかった","どちらでもない","当てはまる","当てはまらない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","当てはまらない","当てはまらない","当てはまらない","どちらでもない","やや当てはまる","当てはまらない","当てはまる","当てはまらない","週1日に満たない","3ヶ月程度前","男性","40～49歳","20年以上～","部長（複数の課のマネジメント）","正社員","新卒","その他部門","0;将来性","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:39:27","セグメントなし","","2;家族（特に子供）がいると集中できない
ダイニングで業務している為、机や椅子などが仕事に適していない","当てはまる","当てはまらない","当てはまらない","当てはまる","あまり当てはまらない","当てはまらない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","当てはまらない","どちらでもない","当てはまる","当てはまらない","当てはまる","あまり当てはまらない","週1日程度","2ヶ月程度前","男性","40～49歳","20年以上～","取締役／役員","正社員","新卒","企画部門","3;会社自体に問題はないが、写真業界自体が厳しい為、明確な動機や理由がなければわざわざ就職する必要はないと考える為。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:36:51","セグメントなし","","5;生産性が上がった部分も多くありますが、コミュニケーションに慣れない部分で下がった部分とで比べると同じ、数字で計れない部分があるため、どちらとも言えません","当てはまらない","あまり当てはまらない","当てはまらない","あまり当てはまらない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","どちらでもない","やや当てはまる","あまり当てはまらない","どちらでもない","どちらでもない","当てはまらない","当てはまらない","どちらでもない","当てはまる","どちらでもない","週3日程度","2ヶ月程度前","女性","30～39歳","10年以上～20年未満","部長（複数の課のマネジメント）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5;やりがいで付けると5以上ですが、向き不向きがあるため、万人が活躍できる場とは思えないため。入口は広く誰でも出来る仕事ですが誰にでも続けれられる仕事ではないです。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"","2020/06/22 11:36:07","セグメントなし","","7;自分のペースで黙々と仕事ができるので、私的には向いていると感じました","当てはまる","どちらでもない","当てはまらない","当てはまらない","当てはまる","当てはまる","当てはまる","あまり当てはまらない","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","当てはまる","あまり当てはまらない","週2日程度","3ヶ月程度前","男性","40～49歳","5年以上～10年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","その他部門","6;社員の健康のための配慮がなっていると感じます","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:31:36","セグメントなし","","7;業務によってだいぶ異なりますが、ひとつひとつの作業の効率・スピードは高くなりました。ただ、打ち合わせや細かい調整をするときに、認識の違いが発生して、遅くなることがあります。","当てはまる","当てはまる","やや当てはまる","やや当てはまる","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","当てはまる","当てはまる","当てはまる","当てはまる","どちらでもない","あまり当てはまらない","やや当てはまる","やや当てはまる","当てはまる","あまり当てはまらない","週3日程度","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","プレイヤー（内勤系職種）","契約社員（嘱託社員やパート・アルバイトなどを含む）","中途","その他部門","8;ウェブ担当として働いている者。

１．エンドユーザーの業務にウェブ担当者として直接携われること
これまでウェブ制作会社で働いていたけれど、会社対会社のやり取りが多かったため、お客様から求められているデザインやコンテンツを直に知ることなくウェブ制作に携わっていた。対して、今の部署だと、商品・サービス、事業の目的などを共有できてウェブ制作に携われるため、自分には合っていた。

同じような働き方を望んでいるデザイナーはたくさんいることを知っているため、友人・知人には勧めたいと思う。

２．ウェブ全般で安定したスキルが身につく
Web制作に関するデザイン業務を広く・浅く担当させてもらえて、また自分の得意な箇所は比較的自由に作らせてもらえて、弱点などはフォローしてもらえたこと。入社当時はコーディングはできたけれど、写真加工は不安だった。（写真屋さんなので致命的だと思っていた）

それでも、実際に行をしてみると、上司から的確な指示を受けて、「自分ができるｘ業務に最低限必要」な部分を考えてくれて、指示を出してくれたため、無事こなすことができた。加えて、同じ業務を何度か行っていくため、自分の成長につながった。

ウェブ制作・デザイン全般に携わりたい人たちにとっては最高の職場だといつも思っている。","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:29:48","セグメントなし","","5","当てはまる","あまり当てはまらない","あまり当てはまらない","当てはまる","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","どちらでもない","あまり当てはまらない","どちらでもない","どちらでもない","やや当てはまる","どちらでもない","当てはまらない","どちらでもない","あまり当てはまらない","週1日に満たない","2ヶ月程度前","男性","40～49歳","20年以上～","本部長／事業部長","その他","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.106 Safari/537.36"
"","2020/06/22 11:29:07","セグメントなし","","7;■プラスポイント
１、通勤時間がないこと
２、自身のペースで（色々急な仕事を振られずに）業務ができること
３、ビジネスフォンの対応がないこと
■マイナスポイント
１、周りの雰囲気で「この案件は先にやっておいた方が良い」が分からず着手が遅れること
２、同じ情報伝達方法でも人によって（部署によって）差が出て遅れてしまう人がいること
３、レポートラインがはっきりしていない場合に「聞いてない」がしばしば発生したこと","当てはまる","どちらでもない","当てはまる","当てはまる","当てはまる","やや当てはまる","どちらでもない","やや当てはまる","当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","あまり当てはまらない","当てはまる","あまり当てはまらない","当てはまる","あまり当てはまらない","週3日程度","3ヶ月程度前","男性","40～49歳","20年以上～","部長（複数の課のマネジメント）","正社員","新卒","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","5","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:73.0) Gecko/20100101 Firefox/73.0"
"","2020/06/22 11:28:12","セグメントなし","","8;集中した環境で業務に取り組めたこと。業務上オンラインへの抵抗がなくテレワークへの習熟が早かったこと。また業務結果に結びついたことです。","やや当てはまる","あまり当てはまらない","当てはまる","当てはまる","やや当てはまる","あまり当てはまらない","あまり当てはまらない","やや当てはまる","あまり当てはまらない","やや当てはまる","当てはまる","やや当てはまる","やや当てはまる","やや当てはまる","当てはまる","どちらでもない","どちらでもない","やや当てはまる","週4日程度","3ヶ月程度前","男性","30～39歳","10年以上～20年未満","主任／リーダー（内勤系職種）","正社員","中途","営業・販売部門（コンサルティングなどの顧客接点部門はこちらに含む）","3;業種としての永続性","116.91.141.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0"
